id	measurementType	measurementValue	measurementUnit
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video52_151	Relative cover	0.092	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video53_152	Relative cover	0.152	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video54_153	Relative cover	0.072	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video55_154	Relative cover	0.004	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video17_155	Relative cover	0.012	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video18_156	Relative cover	0.004	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video19_157	Relative cover	0.012	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video21_158	Relative cover	0.024	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video22_159	Relative cover	0.012	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video24_160	Relative cover	0.2	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video25_161	Relative cover	0.084	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video32_162	Relative cover	0.108	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ilha_das_cabras_ilha_das_cabras_2010_Video3_163	Relative cover	0.872	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ilha_das_cabras_ilha_das_cabras_2010_Video1_164	Relative cover	0.732	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ilha_das_cabras_ilha_das_cabras_2010_Video2_165	Relative cover	0.792	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ilha_das_cabras_ilha_das_cabras_2010_Video1_166	Relative cover	0.984	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ilha_das_cabras_ilha_das_cabras_2010_Video2_167	Relative cover	0.96	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ilha_das_cabras_ilha_das_cabras_2010_Video3_168	Relative cover	0.876	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ilha_das_cabras_ilha_das_cabras_2010_Video1_169	Relative cover	0.976	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ilha_das_cabras_ilha_das_cabras_2010_Video2_170	Relative cover	0.768	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ilha_das_cabras_ilha_das_cabras_2010_Video3_171	Relative cover	0.984	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ilha_das_cabras_ilha_das_cabras_2010_Video1_172	Relative cover	0.86	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ilha_das_cabras_ilha_das_cabras_2010_Video4_173	Relative cover	0.948	dimensionless
